Item,Description,Dim,Dimension,GDim,Tipo,Unit
Item_1217,NUT PRALINE,5030,Dulces,Producción,Procesadora,KG
Item_1218,RAW INDIAN WALNUT,6060,India,Nueces y Almendras,Venta,KG
Item_1219,EXTRA FRIED INDIAN WALNUT,6060,India,Nueces y Almendras,Venta,KG
Item_1220,FRIED INDIAN WALNUT PIECE,6060,India,Nueces y Almendras,Venta,KG
Item_1221,FIRST FRIED INDIAN WALNUT,6060,India,Nueces y Almendras,Venta,KG
Item_1222,WHOLE RAW MACADAMIA NUT,6070,Macadamia,Nueces y Almendras,Venta,KG
Item_1223,WHOLE MACADAMIA NUT,6070,Macadamia,Nueces y Almendras,Venta,KG
Item_1224,MACADAMIA NUT HALVES,6070,Macadamia,Nueces y Almendras,Venta,KG
Item_1225,MACADAMIA NUTS PIECE,6074,Macadamia Otros,Nueces y Almendras,Venta,KG
Item_1226,MAHA NUT IN SHELL,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1227,WHOLE NUTMEG,6090,Moscada,Nueces y Almendras,Venta,KG
Item_1228,GROUND NUTMEG,5010,Nueces M,Producción,Procesadora,KG
Item_1229,NUTMEG PIECE,6090,Moscada,Nueces y Almendras,Venta,KG
Item_1230,NUEZ PECANER W1AB,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1231,SALTED ROASTED NUTS,5031,Botanas,Producción,Procesadora,KG
Item_1232,WESTERN WALNUT GRAIN B,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1233,WESTERN WALNUT MESH 2,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1234,WALNUT PIECE 3W,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1235,WESTERN WALNUT MESH 4,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1236,WALNUT WESTERN MESH 5 MW,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1237,WESTERN WALNUT MESH 6,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1238,WESTERN WALNUT MESH 7,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1239,WESTERN WALNUT MESH 8,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1240,WESTERN WALNUT 10 MESH,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1241,WESTERN WALNUT IN SHELL,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1242,WESTERN WALL NUTS CHICO,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1243,WESTERN WALNUT HALF ECONOMIC,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1244,WESTERN WALNUT HALF MEX FRUIT,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1245,WALNUT WITH CHOCOLATE c-10k,5030,Dulces,Producción,Procesadora,KG
Item_1246,WESTERN WALNUT PIECE 2,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1247,WEDAZO NUT 3 MAQUILA,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1248,WESTERN WALNUT PIECE 4,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1249,CREOLE WALNUT 10 MESH,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1250,RAW INDIAN WALNUT PIECE,6060,India,Nueces y Almendras,Venta,KG
Item_1251,FRIED CINDIAN WALNUT 1000GMS,6060,India,Nueces y Almendras,Venta,PZ
Item_1252,WALNUT WASTE,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1253,LARGE PIECE WALNUT,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1254,CREOLE WALNUT WITH SHELL,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1255,NEW HALF WALNUT 20K,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1256,WESTERN MESH WALNUT 4/8,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1257,MIX OF DRIED FRUITS C/10K,5033,Mix Frutas,Producción,Venta,KG
Item_1258,W1AB SPECIAL WALNUT,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1259,EXTRA NATIONAL OREGANO,3006,Oregano,Especias,Venta,KG
Item_1260,FIRST NATIONAL OREGANO,3006,Oregano,Especias,Venta,KG
Item_1261,IMPORTED OREGANO,3006,Oregano,Especias,Venta,KG
Item_1262,GROUND OREGANO,5004,Especias M,Producción,Procesadora,KG
Item_1263,CUT GREEK OREGANO,3006,Oregano,Especias,Venta,KG
Item_1264,PEANUT CRICKET,1401,Abarrote S/C,Abarrotes,Venta,PZ
Item_1265,Do not use,1221,Pan Molido,Abarrotes,Venta,KG
Item_1266,GROUND BREAD,1221,Pan Molido,Abarrotes,Venta,KG
Item_1267,WHITE BRAZA PAPER W/50KG,1220,Papel,Abarrotes,Venta,Pz
Item_1268,DO NOT USE A BAD,1220,Papel,Abarrotes,Venta,KG
Item_1269,BULLET KRAFT PAPER 70KG test,1220,Papel,Abarrotes,Venta,KG
Item_1270,EMERGING PAPER 50K,1220,Papel,Abarrotes,Venta,KG
Item_1271,BULLET KRAFT PAPER 70KG,1220,Papel,Abarrotes,Venta,KG
Item_1272,NATIONAL GROUND PAPRIKA,5004,Especias M,Producción,Procesadora,KG
Item_1273,CANNED SPANISH PAPRIKA,3019,Paprika,Especias,Venta,PZ
Item_1274,PASA CALINDA SELECTA C/10KG,4007,Pasas,Frutas Secas,Venta,KG
Item_1275,SELECTED PRECIOUS RAISIN W/10KG,4007,Pasas,Frutas Secas,Venta,KG
Item_1276,RAISIN WITH CHOCOLATE,5030,Dulces,Producción,Procesadora,KG
Item_1277,GO GUERA GIRL,4007,Pasas,Frutas Secas,Venta,KG
Item_1278,JUMBO WAR PASSES,4007,Pasas,Frutas Secas,Venta,KG
Item_1279,PRECIOUS MIDGET RAISIN,4007,Pasas,Frutas Secas,Venta,KG
Item_1280,SELECT PARADISE PASS,4007,Pasas,Frutas Secas,Venta,KG
Item_1281,PASS SELECT UNION,4007,Pasas,Frutas Secas,Venta,KG
Item_1282,PASA UNION MIDGET,4007,Pasas,Frutas Secas,Venta,KG
Item_1283,NATIONAL MEDIUM PASS,4007,Pasas,Frutas Secas,Venta,KG
Item_1284,CHILEAN JUMBO RAISIN,4007,Pasas,Frutas Secas,Venta,KG
Item_1285,PASS KABORCA,4007,Pasas,Frutas Secas,Venta,KG
Item_1286,SANTA MINERVA MIDGET RAISIN 10KG,4007,Pasas,Frutas Secas,Venta,KG
Item_1287,SELECT PACIFIC PASS,4007,Pasas,Frutas Secas,Venta,KG
Item_1288,CAKE CANDIED RAISIN 8 KG,5030,Dulces,Producción,Procesadora,KG
Item_1289,MEDIUM CHILEAN RAISIN,4007,Pasas,Frutas Secas,Venta,KG
Item_1290,PASS THE GUERO SELECTA,4007,Pasas,Frutas Secas,Venta,KG
Item_1291,SELECT PASS WITHOUT BRAND,4007,Pasas,Frutas Secas,Venta,KG
Item_1292,SELECTED IMPORTED PASS 10K,4007,Pasas,Frutas Secas,Venta,KG
Item_1293,NATIONAL JUMBO 10K PASS,4007,Pasas,Frutas Secas,Venta,KG
Item_1294,MC CHEF MINI WHEEL PASTA,1224,Abarrotes,Abarrotes,Venta,KG
Item_1295,MC CHEF FISH PASTA 15 KG,1224,Abarrotes,Abarrotes,Venta,KG
Item_1296,MICHEL MINICUADRO FOLDER 15 KG,1224,Abarrotes,Abarrotes,Venta,KG
Item_1297,PASTA PALMEX 10X10,1224,Abarrotes,Abarrotes,Venta,KG
Item_1298,PASTA PALMEX 4X4,1224,Abarrotes,Abarrotes,Venta,KG
Item_1299,PASTA PALMEX 4X8,1224,Abarrotes,Abarrotes,Venta,KG
Item_1300,PALMEX PASTE RING,1224,Abarrotes,Abarrotes,Venta,KG
Item_1301,PASTA PALMEX DONA,1224,Abarrotes,Abarrotes,Venta,KG
Item_1302,PALMEX LAGRIMA PASTE,1224,Abarrotes,Abarrotes,Venta,KG
Item_1303,PALMEX MINI POTATO WHEEL PASTE,1224,Abarrotes,Abarrotes,Venta,KG
Item_1304,PALMEX MINICUADRO FOLDER,1224,Abarrotes,Abarrotes,Venta,KG
Item_1305,PASTA PALMEX MINIDONA,1224,Abarrotes,Abarrotes,Venta,KG
Item_1306,PASTA PALMEX MINIRUEDA,1224,Abarrotes,Abarrotes,Venta,KG
Item_1307,PALMEX MINI WHEEL PASTE WITH LEG,1224,Abarrotes,Abarrotes,Venta,KG
Item_1308,PALMEX PASTE STICK,1224,Abarrotes,Abarrotes,Venta,KG
Item_1309,PALMEX PASTA PAPA PAPA,1224,Abarrotes,Abarrotes,Venta,KG
Item_1310,PALMEX BIG WHEEL PASTE,1224,Abarrotes,Abarrotes,Venta,KG
Item_1311,PALMEX NUT PASTE,1224,Abarrotes,Abarrotes,Venta,KG
Item_1312,SPAGHETTI MOD 20/200,1224,Abarrotes,Abarrotes,Venta,PZ
Item_1313,SHORT MACARON MOD 20/200,1224,Abarrotes,Abarrotes,Venta,Pz
Item_1314,BARILLA SCREW PASTE 15/500,1224,Abarrotes,Abarrotes,Venta,PZ
Item_1315,BED PEPITA,8010,Pepita,Semillas,Venta,KG
Item_1316,SPECIAL CLOVER NUGGE,8010,Pepita,Semillas,Venta,KG
Item_1317,FRIED PEPITA,8010,Pepita,Semillas,Venta,KG
Item_1318,IMPORTED NUG,8010,Pepita,Semillas,Venta,KG
Item_1319,PREPARED GROUND NUGGE,5009,Semillas M,Producción,Procesadora,KG
Item_1320,SIMPLE GROUND NUGGE,5009,Semillas M,Producción,Procesadora,KG
Item_1321,NATIONAL NAKED NAKED,8010,Pepita,Semillas,Venta,KG
Item_1322,RUIMEX SPECIAL GROUND NUGGE,5009,Semillas M,Producción,Procesadora,KG
Item_1323,BORING NUGGETS,8010,Pepita,Semillas,Venta,KG
Item_1324,CREOLE PEPITA WITH SHELL,8010,Pepita,Semillas,Venta,KG
Item_1325,PEPITA WITH SMOOTH SHELL,8010,Pepita,Semillas,Venta,KG
Item_1326,DRIED FISH CATFISH,7004,Pescado,Productos del Mar,Venta,KG
Item_1327,DRIED CORVINA FISH,7004,Pescado,Productos del Mar,Venta,KG
Item_1328,DRIED FISH LIZA GRANDE,7004,Pescado,Productos del Mar,Venta,KG
Item_1329,LIZA CHICA DRIED FISH,7004,Pescado,Productos del Mar,Venta,KG
Item_1330,DRIED FISH PICUDA,7004,Pescado,Productos del Mar,Venta,KG
Item_1331,POPOCHA DRIED FISH,7004,Pescado,Productos del Mar,Venta,KG
Item_1332,DRIED FISH SEABASS,7004,Pescado,Productos del Mar,Venta,KG
Item_1333,DARK PILONCILLO,1210,Piloncillos,Abarrotes,Venta,KG
Item_1334,COMMERCIAL PILONCILLO,1210,Piloncillos,Abarrotes,Venta,KG
Item_1335,CLEAR PILONCILLO,1210,Piloncillos,Abarrotes,Venta,KG
Item_1336,WHITE PILONCILLO,1210,Piloncillos,Abarrotes,Venta,KG
Item_1337,PILONCILLO PIRINOLA,1210,Piloncillos,Abarrotes,Venta,KG
Item_1338,PILONCILLO DARK CAP,1210,Piloncillos,Abarrotes,Venta,KG
Item_1339,PILONCILLO COMMERCIAL CAP,1210,Piloncillos,Abarrotes,Venta,KG
Item_1340,PILONCILLO CLEAR CAP,1210,Piloncillos,Abarrotes,Venta,KG
Item_1341,PILONCILLO WHITE CAP,1210,Piloncillos,Abarrotes,Venta,KG
Item_1342,RED PEPPER,3007,Pimento,Especias,Venta,KG
Item_1343,ORANGE PEPPER B/25K,3007,Pimento,Especias,Venta,KG
Item_1344,WHOLE WHITE PEPPER,3008,Pimienta,Especias,Venta,KG
Item_1345,GROUND WHITE PEPPER,5004,Especias M,Producción,Procesadora,KG
Item_1346,WHOLE FAT PEPPER,3008,Pimienta,Especias,Venta,KG
Item_1347,GROUND PEPPER,5004,Especias M,Producción,Procesadora,KG
Item_1348,WHOLE SMALL BLACK PEPPER,3008,Pimienta,Especias,Venta,KG
Item_1349,SMALL GROUND BLACK PEPPER,5004,Especias M,Producción,Procesadora,KG
Item_1350,RED PEPPER,3008,Pimienta,Especias,Venta,KG
Item_1351,GREEN PEPPER,3008,Pimienta,Especias,Venta,KG
Item_1352,PURE GROUND WHITE PEPPER,5004,Especias M,Producción,Procesadora,KG
Item_1353,GROUND BLACK PEPPER,5004,Especias M,Producción,Procesadora,KG
Item_1354,FALL PEPPER STRIP 30 PCS,5004,Especias M,Producción,Procesadora,PZ
Item_1355,GROUND BCA PEPPER STRIP 30PCS,5004,Especias M,Producción,Procesadora,KG
Item_1356,BRUSHED BLACK PEPPER B/25,5004,Especias M,Producción,Procesadora,KG
Item_1357,PINGUICA,8011,Pinguica,Semillas,Venta,KG
Item_1358,PINON BLANCO LARGE,4008,Pinon,Frutas Secas,Venta,KG
Item_1359,MEDIUM WHITE PINON,4008,Pinon,Frutas Secas,Venta,KG
Item_1360,BOY WHITE PINON,4008,Pinon,Frutas Secas,Venta,KG
Item_1361,PINON WITH SHELL,4008,Pinon,Frutas Secas,Venta,KG
Item_1362,PINON WITH CHOCOLATE,5030,Dulces,Producción,Procesadora,KG
Item_1363,CANDIED PINON,5030,Dulces,Producción,Procesadora,KG
Item_1364,ROSA OF THE STACK,4008,Pinon,Frutas Secas,Venta,KG
Item_1365,PINON WITH CHOCOLATE,5030,Dulces,Producción,Procesadora,KG
Item_1366,PENON PELADILLA,5030,Dulces,Producción,Procesadora,KG
Item_1367,STRAPPING CLIPS,1401,Abarrote S/C,Abarrotes,Venta,PZ
Item_1368,PIPIAN DON PANCHO 5KG,5050,Moles Alvaro,Producción,Procesadora,KG
Item_1369,PIPIAN DON PANCHO 10 KG,5050,Moles Alvaro,Producción,Procesadora,KG
Item_1370,SHAH ROASTED PISTACHIE 10KG,4009,Pistaches,Frutas Secas,Venta,KG
Item_1371,RAW PISTACHE WITH SHELL,4009,Pistaches,Frutas Secas,Venta,KG
Item_1372,RAW NAKED PISTACHIOS 11.34 KG,4009,Pistaches,Frutas Secas,Venta,KG
Item_1373,TOASTED NAKED PISTACHIOS,4009,Pistaches,Frutas Secas,Venta,KG
Item_1374,PISTACHIE WITH CHILI AND GARLIC,5031,Botanas,Producción,Procesadora,KG
Item_1375,LARGE CIMARRON PISTACHIO,4009,Pistaches,Frutas Secas,Venta,KG
Item_1376,AMERICAN CIMARRON PISTACHES,4009,Pistaches,Frutas Secas,Venta,KG
Item_1377,PISTACHE CIMARRON IRANI,4009,Pistaches,Frutas Secas,Venta,KG
Item_1378,CANDIED PISTACHIE 10 KG,5030,Dulces,Producción,Procesadora,KG
Item_1379,TOASTED PISTACHIO CUCU W/10KG,4009,Pistaches,Frutas Secas,Venta,KG
Item_1380,RUIMEX T-SHIRT,1904,[M] Uniformes,Abarrotes,Materiales,PZ
Item_1381,PURE COSTEÑA TOMATO 12/1LT,1224,Abarrotes,Abarrotes,Venta,PZ
Item_1382,QUINOA B/25K,8022,Quinoa,Semillas,Venta,KG
Item_1383,STRAPPING ROLLS,1605,[M] Comp Empaques,Abarrotes,Venta,PZ
Item_1384,ROYAL MAGICO 15KG,1218,Royal,Abarrotes,Venta,KG
Item_1385,ROYAL HORNIPAN 5KG,1218,Royal,Abarrotes,Venta,PZ
Item_1386,ROYAL SPAUDA 15KG,1218,Royal,Abarrotes,Venta,KG
Item_1387,ROYAL KOCI,1218,Royal,Abarrotes,Venta,KG
Item_1388,REXAL POWDER,1218,Royal,Abarrotes,Venta,PZ
Item_1389,ROYAL PENSILVANIA C/20KG,1218,Royal,Abarrotes,Venta,KG
Item_1390,PRAGUE SALT,1401,Abarrote S/C,Abarrotes,Venta,KG
Item_1391,GRAIN SALT,1401,Abarrote S/C,Abarrotes,Venta,KG
Item_1392,YUCATECAN RED SAUCE 120ML,1211,Salsas,Abarrotes,Venta,PZ
Item_1393,SALSA HELM FRANCE 4/3.8,1211,Salsas,Abarrotes,Venta,Pz
Item_1394,YUCATECA GREEN SAUCE 120 ML,1211,Salsas,Abarrotes,Venta,PZ
Item_1395,SALSA VERDE MERIDA 120ML,1211,Salsas,Abarrotes,Venta,PZ
Item_1396,MERIDA RED SAUCE 120 ML,1211,Salsas,Abarrotes,Venta,PZ
Item_1397,VALENTINA AMAR SAUCE 1L 12 PZ,1211,Salsas,Abarrotes,Venta,PZ
Item_1398,VALENTINA AMAR SAUCE 500 24 PZ,1211,Salsas,Abarrotes,Venta,PZ
Item_1399,BLACK VALENTINA SAUCE 1L 12 PZ,1211,Salsas,Abarrotes,Venta,PZ
Item_1400,BLACK VALENTINE SAUCE 500 24PCS,1211,Salsas,Abarrotes,Venta,PZ
Item_1401,ITALIAN HELM SAUCE 4/3.8,1211,Salsas,Abarrotes,Venta,Pz
Item_1402,SALSA RED HOT 354ML,1211,Salsas,Abarrotes,Venta,PZ
Item_1403,NATURAL BRAN WEIGHT,1203,Granolas,Abarrotes,Venta,KG
Item_1404,BAKED BRAN,1203,Granolas,Abarrotes,Venta,KG
Item_1405,SAVED LA MORENA,1203,Granolas,Abarrotes,Venta,PZ
Item_1406,SARDINA GUAYMEX 24/425,1224,Abarrotes,Abarrotes,Venta,PZ
Item_1407,CHILI SEED,2500,Mermas chile,Chiles Secos,Venta,KG
Item_1408,LEMON POWDER,1224,Abarrotes,Abarrotes,Venta,KG
Item_1409,LA MODERNA SOUP ASSORTMENT 20/200,1224,Abarrotes,Abarrotes,Venta,PZ
Item_1410,MIA LETTER SOUP 200gms,1224,Abarrotes,Abarrotes,Venta,PZ
Item_1411,MIA TONGUE SOUP 200gms,1224,Abarrotes,Abarrotes,Venta,PZ
Item_1412,MIA NOODLE SOUP 200gms,1224,Abarrotes,Abarrotes,Venta,PZ
Item_1413,MIA STAR SOUP 200gms,1224,Abarrotes,Abarrotes,Venta,PZ
Item_1414,MIA CODITOS SOUP 200gms,1224,Abarrotes,Abarrotes,Venta,PZ
Item_1415,SORGHUM,1401,Abarrote S/C,Abarrotes,Venta,KG
Item_1416,TEXTURED SOYA PROTEIN,1202,Soya,Abarrotes,Venta,KG
Item_1417,NATURAL SOY MILK,1202,Soya,Abarrotes,Venta,KG
Item_1418,SOY CHICKEN,1202,Soya,Abarrotes,Venta,PZ
Item_1419,SOY BEEF,1202,Soya,Abarrotes,Venta,PZ
Item_1420,BULK SOY MILK,1202,Soya,Abarrotes,Venta,KG
Item_1421,SOYAREL MILK CHOCOLATE,1202,Soya,Abarrotes,Venta,KG
Item_1422,SOYAREL VANILLA MILK,1202,Soya,Abarrotes,Venta,KG
Item_1423,STRAWBERRY SOYAREL MILK,1202,Soya,Abarrotes,Venta,KG
Item_1424,TEXTURED SOYA PROTEIN,1202,Soya,Abarrotes,Venta,KG
Item_1425,NATURAL SOYAREL MILK,1202,Soya,Abarrotes,Venta,KG
Item_1426,SPECIAL K KELLOG 24/510,1224,Abarrotes,Abarrotes,Venta,PZ
Item_1427,SPECIAL K KELLOG 14/730,1224,Abarrotes,Abarrotes,Venta,PZ
Item_1428,SILYUM SEED,3020,Silyum,Especias,Venta,KG
Item_1429,BULK TAMARIND,4010,Tamarindo,Frutas Secas,Venta,KG
Item_1430,SUPER BOXED TAMARIND,4010,Tamarindo,Frutas Secas,Venta,KG
Item_1431,TAMARIND PULP,4010,Tamarindo,Frutas Secas,Venta,KG
Item_1432,TAMARINDO FIRST SELECTED BOX,4010,Tamarindo,Frutas Secas,Venta,KG
Item_1433,SELECTED TAMARIND,4010,Tamarindo,Frutas Secas,Venta,KG
Item_1434,CHILE TAMARIND PULP,4010,Tamarindo,Frutas Secas,Venta,KG
Item_1435,EXTRA TAMARIND,4010,Tamarindo,Frutas Secas,Venta,KG
Item_1436,SWEET TAMARIND PULP,4010,Tamarindo,Frutas Secas,Venta,KG
Item_1437,TAMARIND SHELL,4010,Tamarindo,Frutas Secas,Venta,KG
Item_1438,TAPIOCA BULTO 25 KG,8018,Tapioca,Semillas,Venta,KG
Item_1439,OPENING BASKET,1401,Abarrote S/C,Abarrotes,Venta,PZ
Item_1440,TENSIONER,1401,Abarrote S/C,Abarrotes,Venta,PZ
Item_1441,GRADE PEPPER IN STRIPS 30 PCS,3008,Pimienta,Especias,Venta,PZ
Item_1442,GROUND CINNAMON STRIP 30 PCS,5004,Especias M,Producción,Procesadora,PZ
Item_1443,GARLIC WITH SALT IN STRIP 30 PCS,5007,Molidos,Producción,Procesadora,PZ
Item_1444,GROUND BCA PEPPER STRIP 30PCS,5004,Especias M,Producción,Procesadora,PZ
Item_1445,ONION WITH SALT STRIP 30 PCS,5007,Molidos,Producción,Procesadora,PZ
Item_1446,CINNAMON TREBOLTIRA CHI 30 PCS,3002,Canela,Especias,Venta,PZ
Item_1447,CINNAMON TREBOLTIRA GDE 30 PCS,3002,Canela,Especias,Venta,PZ
Item_1448,WHOLE THYME,3009,Tomillo,Especias,Venta,KG
Item_1449,GROUND THYME,5004,Especias M,Producción,Procesadora,KG
Item_1450,MULTIVITAMIN TONIC,1222,Aves,Abarrotes,Venta,PZ
Item_1451,IRON TONIC,1222,Aves,Abarrotes,Venta,PZ
Item_1452,TONIC FOR SINGING,1222,Aves,Abarrotes,Venta,PZ
Item_1453,SPECTORATING RED TONIC,1222,Aves,Abarrotes,Venta,PZ
Item_1454,ANTIDIARRHEIC TONIC,1222,Aves,Abarrotes,Venta,PZ
Item_1455,POSTURE TONER,1222,Aves,Abarrotes,Venta,PZ
Item_1456,COD LIVER TONIC,1222,Aves,Abarrotes,Venta,PZ
Item_1457,INSECTICIDE POWDER,1222,Aves,Abarrotes,Venta,PZ
Item_1458,PLUMA COMPLEMENT TONIC,1222,Aves,Abarrotes,Venta,PZ
Item_1459,WHOLE WHEAT,8012,Trigo,Semillas,Venta,KG
Item_1460,CASTLE VANILLA 120 ML,1207,Vainilla,Abarrotes,Venta,PZ
Item_1461,CASTLE VANILLA 250 ML,1207,Vainilla,Abarrotes,Venta,PZ
Item_1462,CASTLE VANILLA 500 ML,1207,Vainilla,Abarrotes,Venta,PZ
Item_1463,CASTLE VANILLA 1 LT,1207,Vainilla,Abarrotes,Venta,PZ
Item_1464,CASTLE VANILLA 4 LT,1207,Vainilla,Abarrotes,Venta,PZ
Item_1465,WITH VAIN I DON'T VAIN,1207,Vainilla,Abarrotes,Venta,KG
Item_1466,PALM VANILLA 125 ML,1207,Vainilla,Abarrotes,Venta,PZ
Item_1467,PALM VANILLA 250 ML,1207,Vainilla,Abarrotes,Venta,PZ
Item_1468,PALM VANILLA 500 ML,1207,Vainilla,Abarrotes,Venta,PZ
Item_1469,VANILLA PALMA 1 LT,1207,Vainilla,Abarrotes,Venta,PZ
Item_1470,VANILLA PALMA 4 LT,1207,Vainilla,Abarrotes,Venta,PZ
Item_1471,VANILLA STRIP 45 ML,1207,Vainilla,Abarrotes,Venta,PZ
Item_1472,VANILLA STRIP 125 ML,1207,Vainilla,Abarrotes,Venta,PZ
Item_1473,GALLON PALM VANILLA,1207,Vainilla,Abarrotes,Venta,PZ
Item_1474,VAINILLA PALMA,1207,Vainilla,Abarrotes,Venta,PZ
Item_1475,CHARD W/8KG,9001,Verduras,Frutas y verduras,Venta,KG
Item_1476,AVOCADO C/9KG,9001,Verduras,Frutas y verduras,Venta,KG
Item_1477,PURPLE AYOCOTE,9001,Verduras,Frutas y verduras,Venta,KG
Item_1478,BLACK AYOCOTE,9001,Verduras,Frutas y verduras,Venta,KG
Item_1479,GREEN CRESSES,9001,Verduras,Frutas y verduras,Venta,KG
Item_1480,BETABEL C/7KG,9001,Verduras,Frutas y verduras,Venta,KG
Item_1481,BROCCOLI C/10KG,9001,Verduras,Frutas y verduras,Venta,KG
Item_1482,ITALIAN PUMPKIN W/11KG,9001,Verduras,Frutas y verduras,Venta,KG
Item_1483,SWEET POTATO,9001,Verduras,Frutas y verduras,Venta,KG
Item_1484,WHITE ONION,9001,Verduras,Frutas y verduras,Venta,KG
Item_1485,CAMBRAY ONION C/6KG,9001,Verduras,Frutas y verduras,Venta,KG
Item_1486,CHAYOTE C/16KG,9001,Verduras,Frutas y verduras,Venta,KG
Item_1487,GREEN PEA,9001,Verduras,Frutas y verduras,Venta,KG
Item_1488,CILANTRO C/3KG,9001,Verduras,Frutas y verduras,Venta,KG
Item_1489,COLIFLOR C/12PZ,9001,Verduras,Frutas y verduras,Venta,KG
Item_1490,FRESH BEANS,9001,Verduras,Frutas y verduras,Venta,KG
Item_1491,GRAIN CORN,9001,Verduras,Frutas y verduras,Venta,KG
Item_1492,EPAZOTE C/4kg,9001,Verduras,Frutas y verduras,Venta,KG
Item_1493,SPINACAS WITH 5KG,9001,Verduras,Frutas y verduras,Venta,KG
Item_1494,OREJONA LETTUCE C/24PZ,9001,Verduras,Frutas y verduras,Venta,KG
Item_1495,ROMAN LETTUCE C/24PZ,9001,Verduras,Frutas y verduras,Venta,KG
Item_1496,MORRON AMARILLO C/11KG,9001,Verduras,Frutas y verduras,Venta,KG
Item_1497,MORRON ROJO C/12KG,9001,Verduras,Frutas y verduras,Venta,KG
Item_1498,MORRON VERDE C/11KG,9001,Verduras,Frutas y verduras,Venta,KG
Item_1499,NOPALES C/25KG,9001,Verduras,Frutas y verduras,Venta,KG
Item_1500,FRYING POTATO,9001,Verduras,Frutas y verduras,Venta,KG
Item_1501,CHINESE PARSLEY C/1KG,9001,Verduras,Frutas y verduras,Venta,PZ
Item_1502,POBLANO,9001,Verduras,Frutas y verduras,Venta,KG
Item_1503,PORO BLANCO C/10KG,9001,Verduras,Frutas y verduras,Venta,PZ
Item_1504,RABANITO C/10KG,9001,Verduras,Frutas y verduras,Venta,PZ
Item_1505,ROMERITOS,9001,Verduras,Frutas y verduras,Venta,KG
Item_1506,BALL TOMATO W/9.KG,9001,Verduras,Frutas y verduras,Venta,KG
Item_1507,GREEN SKIN TOMATO,9001,Verduras,Frutas y verduras,Venta,KG
Item_1508,TOMATO SALADETTE C/12.5,9001,Verduras,Frutas y verduras,Venta,KG
Item_1509,PURSLANE,9001,Verduras,Frutas y verduras,Venta,KG
Item_1510,CARROT C/20KG,9001,Verduras,Frutas y verduras,Venta,KG
Item_1511,YUCCA,9001,Verduras,Frutas y verduras,Venta,KG
Item_1512,MALANGA,9001,Verduras,Frutas y verduras,Venta,KG
Item_1513,PAPA CAMBRAY,9001,Verduras,Frutas y verduras,Venta,KG
Item_1514,CHICORIA,9001,Verduras,Frutas y verduras,Venta,KG
Item_1515,WHITE VINEGAR 4 LT,1209,Vinagres,Abarrotes,Venta,PZ
Item_1516,WHITE VINEGAR 750 ML,1209,Vinagres,Abarrotes,Venta,PZ
Item_1517,VINEGAR COLOR 4 LT,1209,Vinagres,Abarrotes,Venta,PZ
Item_1518,COLORED VINEGAR 750 ML,1209,Vinagres,Abarrotes,Venta,PZ
Item_1519,APPLE VINEGAR 4 LT,1209,Vinagres,Abarrotes,Venta,PZ
Item_1520,APPLE VINEGAR 750 ML,1209,Vinagres,Abarrotes,Venta,PZ
Item_1521,GRAPE VINEGAR 750ML,1209,Vinagres,Abarrotes,Venta,PZ
Item_1522,VINAGRE PIANELLO VINO BCO 500M,1209,Vinagres,Abarrotes,Venta,PZ
Item_1523,CONCHA Y TORO CABERNET WINE,1224,Abarrotes,Abarrotes,Venta,PZ
Item_1524,ZUCARITAS KELLOG 24/510,1224,Abarrotes,Abarrotes,Venta,PZ
Item_1525,ZUCARITAS KELLOG 14/950,1224,Abarrotes,Abarrotes,Venta,PZ
Item_1526,25K GROUND CINNAMON,5004,Especias M,Producción,Procesadora,KG
Item_1527,DEHYDRATED CHERRY,4001,Cerezas,Frutas Secas,Venta,KG
Item_1528,WALNUT 4-8 CREOLE 20K,6030,Nuez,Nueces y Almendras,Venta,KG
Item_1529,other products,1906,No,Abarrotes,No,PZ
Item_1530,THE NIGHTINGALE T-SHIRTS,1904,[M] Uniformes,Abarrotes,Materiales,
Item_1531,CAMPECHE COD SUPER despite,7005,Campeche,Productos del Mar,Venta,KG
